job_title,industry,job_status,ai_impact_level,median_salary_usd,required_education,experience_required_years,job_openings_2024,projected_openings_2030,remote_work_ratio_percent,automation_risk_percent,location,gender_diversity_percent,growth_rate,risk_category
Midwife,IT,Decreasing,Moderate,78231.32,PhD,18,228,9790,7.23,50.45,USA,76.78,4193.859649122807,Medium
Software engineer,Finance,Increasing,Low,97983.1,Bachelor’s Degree,14,3010,5340,61.84,93.49,UK,65.19,77.40863787375415,High
Chief Strategy Officer,Entertainment,Increasing,Low,59569.64,High School,14,7434,6641,45.03,43.63,USA,23.71,-10.667204735001345,Medium
Corporate treasurer,Finance,Decreasing,Low,133290.47,Master’s Degree,11,3169,7987,84.28,65.86,UK,41.21,152.03534237929946,Medium
"Producer, radio",IT,Decreasing,Low,89267.67,Bachelor’s Degree,7,7903,5807,0.78,71.15,Germany,77.91,-26.521574085790206,High
Patent examiner,Finance,Decreasing,High,80490.03,Associate Degree,11,1314,6683,55.71,99.57,Germany,29.97,408.599695585997,High
Social worker,Healthcare,Decreasing,Moderate,125266.23,Bachelor’s Degree,18,4445,4928,98.37,63.52,USA,68.06,10.866141732283465,Medium
Conference centre manager,Transportation,Increasing,Low,61872.08,High School,16,4270,6732,95.8,10.79,Germany,66.22,57.658079625292736,Low
"Merchandiser, retail",Retail,Decreasing,High,34121.29,Bachelor’s Degree,17,3259,5065,90.86,29.36,Brazil,72.96,55.41577170911323,Low
Orthoptist,Retail,Increasing,Low,81968.62,Bachelor’s Degree,13,7574,4592,26.26,64.29,China,72.17,-39.37153419593346,Medium
"Designer, interior/spatial",Entertainment,Increasing,High,35603.36,Bachelor’s Degree,2,5626,6606,51.0,19.11,Brazil,74.17,17.41912548880199,Low
Automotive engineer,Transportation,Decreasing,High,113550.68,Associate Degree,14,4732,672,34.54,93.1,UK,51.02,-85.79881656804734,High
Landscape architect,IT,Increasing,High,65963.89,High School,6,248,5212,96.37,41.74,Germany,79.2,2001.6129032258063,Medium
Event organiser,IT,Decreasing,Low,145382.01,Associate Degree,9,228,4620,46.75,17.23,China,32.16,1926.3157894736842,Low
Television floor manager,Manufacturing,Increasing,Moderate,107020.32,Master’s Degree,10,3978,8683,90.01,45.08,Brazil,27.48,118.27551533433886,Medium
Proofreader,Healthcare,Decreasing,Low,129048.24,Associate Degree,17,3648,3516,50.55,13.98,India,63.4,-3.618421052631579,Low
"Engineer, broadcasting (operations)",Finance,Decreasing,Moderate,41186.6,Master’s Degree,14,9874,9474,42.21,22.34,India,61.1,-4.051043143609479,Low
Maintenance engineer,Education,Decreasing,Low,99340.89,Master’s Degree,7,533,2944,72.92,73.31,China,61.12,452.34521575984996,High
"Designer, multimedia",Education,Increasing,High,35545.2,Associate Degree,5,4434,1898,68.58,99.98,China,33.88,-57.19440685611187,High
Ambulance person,Transportation,Decreasing,High,78482.0,Associate Degree,11,1928,5122,49.05,80.99,USA,38.61,165.66390041493776,High
Industrial buyer,Healthcare,Decreasing,High,144586.81,Master’s Degree,5,1966,446,31.95,75.36,Brazil,20.78,-77.31434384537131,High
Immigration officer,Retail,Decreasing,High,112637.9,PhD,18,8174,653,24.08,38.05,Canada,37.74,-92.01125519941277,Low
"Therapist, sports",Transportation,Decreasing,Low,85372.18,Bachelor’s Degree,20,1294,1237,92.13,31.8,Canada,59.44,-4.404945904173107,Low
Paediatric nurse,IT,Decreasing,Low,124953.39,Associate Degree,7,5426,2653,57.51,75.96,China,36.47,-51.105786951713974,High
"Engineer, land",Retail,Decreasing,Low,87242.42,Master’s Degree,15,5698,1648,36.33,49.39,USA,66.8,-71.07757107757108,Medium
Production manager,IT,Decreasing,Moderate,118892.54,High School,3,8981,7626,65.24,95.88,India,55.28,-15.087406747578221,High
Advertising account planner,Entertainment,Decreasing,Low,135000.8,High School,20,9941,2041,73.41,95.22,UK,21.57,-79.4688663112363,High
"Pharmacist, community",Transportation,Decreasing,Moderate,82532.98,High School,7,8648,1856,43.37,47.93,Australia,45.87,-78.53839037927844,Medium
Environmental manager,Retail,Increasing,Low,125084.04,Master’s Degree,13,9068,5432,25.1,59.96,Australia,73.48,-40.097044552271726,Medium
"Programmer, multimedia",Manufacturing,Decreasing,High,102347.7,Bachelor’s Degree,19,6380,9072,57.0,61.4,UK,53.96,42.194357366771165,Medium
Sports administrator,Manufacturing,Increasing,High,92190.76,Bachelor’s Degree,8,3671,5747,74.55,54.16,Australia,58.87,56.55134840642877,Medium
Maintenance engineer,Healthcare,Increasing,High,87984.24,Associate Degree,13,601,7496,38.89,71.93,China,65.54,1147.2545757071548,High
Chief Executive Officer,IT,Increasing,Low,72611.62,Associate Degree,19,9356,1581,64.77,79.71,China,26.98,-83.10175288584865,High
Energy manager,Transportation,Decreasing,Low,78163.1,High School,0,8968,5191,10.38,7.22,Brazil,53.99,-42.1164139161463,Low
Chief Technology Officer,Healthcare,Decreasing,High,128554.35,PhD,12,7721,2463,63.42,8.06,Germany,49.85,-68.09998704830981,Low
Geoscientist,Healthcare,Decreasing,High,34050.96,Associate Degree,13,9241,1432,75.6,33.82,China,64.41,-84.50384157558706,Low
Psychiatrist,IT,Increasing,High,105615.55,Associate Degree,2,4156,9808,62.03,94.05,USA,46.24,135.99615014436958,High
Advertising account planner,Entertainment,Decreasing,Low,104135.53,PhD,16,4239,8867,20.21,12.67,India,35.36,109.17669261618306,Low
Warehouse manager,Transportation,Increasing,Moderate,149772.07,Master’s Degree,14,4215,568,59.37,94.57,USA,74.87,-86.52431791221827,High
Research scientist (life sciences),Finance,Decreasing,High,100904.37,High School,10,482,5157,95.08,58.05,UK,75.01,969.9170124481327,Medium
"Teacher, music",Retail,Decreasing,Low,118921.52,Bachelor’s Degree,11,6081,8784,53.13,24.82,Germany,24.24,44.44992599901332,Low
Video editor,IT,Decreasing,Moderate,57993.62,Bachelor’s Degree,5,7858,5262,22.04,46.64,Australia,71.98,-33.03639602952405,Medium
"Conservator, furniture",Education,Decreasing,Low,36970.31,PhD,10,5609,4008,26.83,41.4,India,42.54,-28.54341237297201,Medium
Commissioning editor,Entertainment,Decreasing,Moderate,88023.57,PhD,7,6325,7159,2.76,98.12,USA,65.02,13.185770750988143,High
"Nurse, children's",Education,Decreasing,High,98670.19,Bachelor’s Degree,5,5891,9917,41.42,54.47,Germany,60.26,68.34153793922934,Medium
Event organiser,Retail,Decreasing,High,94685.14,Master’s Degree,11,8381,6365,76.63,4.78,China,73.03,-24.054408781768284,Low
Recruitment consultant,Entertainment,Increasing,High,51927.13,Associate Degree,15,2644,9784,3.75,71.5,USA,70.61,270.04538577912257,High
Volunteer coordinator,IT,Decreasing,High,79278.78,High School,9,3511,4201,66.23,2.99,USA,44.39,19.65252064938764,Low
Purchasing manager,Finance,Increasing,Moderate,54793.25,PhD,11,8066,1404,72.13,73.12,UK,75.89,-82.59360277708902,High
Glass blower/designer,Healthcare,Decreasing,High,76695.72,Bachelor’s Degree,12,3068,8459,12.22,34.38,Canada,48.04,175.71707953063884,Low
Petroleum engineer,Retail,Increasing,Low,62149.86,High School,19,2915,6747,1.7,58.36,Brazil,26.26,131.45797598627786,Medium
Marketing executive,Manufacturing,Increasing,Low,60226.37,PhD,3,6589,9225,25.97,65.5,Germany,75.67,40.00607072393383,Medium
Clinical psychologist,IT,Decreasing,Low,140986.68,Bachelor’s Degree,12,2373,8928,82.12,39.57,Germany,35.32,276.2326169405815,Low
Records manager,Retail,Decreasing,Low,79818.13,Bachelor’s Degree,2,1611,8256,71.23,40.92,Canada,40.23,412.47672253258844,Medium
Community arts worker,Manufacturing,Increasing,Moderate,71746.0,PhD,10,5834,1618,92.03,5.51,China,72.96,-72.26602673980118,Low
"Development worker, international aid",Manufacturing,Increasing,Low,137895.8,Bachelor’s Degree,4,781,3187,68.98,13.3,Germany,33.83,308.06658130601795,Low
"Conservator, furniture",Healthcare,Decreasing,High,146011.78,Master’s Degree,17,8832,9270,15.26,23.97,UK,44.23,4.959239130434782,Low
Careers adviser,Entertainment,Decreasing,Low,72555.81,Bachelor’s Degree,14,7306,369,82.14,37.46,Brazil,42.98,-94.94935669312893,Low
Photographer,IT,Decreasing,Moderate,64517.6,High School,19,1382,8095,1.75,9.6,UK,66.23,485.74529667149056,Low
Commercial horticulturist,Entertainment,Decreasing,High,91447.63,Bachelor’s Degree,18,7443,1676,29.9,16.13,Germany,47.0,-77.48219803842537,Low
Occupational therapist,Healthcare,Increasing,Low,39275.17,PhD,16,1211,7613,59.14,44.42,Germany,27.13,528.654004954583,Medium
"Surveyor, rural practice",Healthcare,Increasing,High,114531.48,Bachelor’s Degree,9,238,1617,61.59,17.75,China,57.47,579.4117647058823,Low
Armed forces logistics/support/administrative officer,Manufacturing,Decreasing,Moderate,71505.62,Bachelor’s Degree,12,1877,6208,81.04,88.05,India,71.73,230.74054342035163,High
"Lecturer, further education",Entertainment,Increasing,High,39422.9,Master’s Degree,20,5824,1977,88.12,33.15,UK,33.09,-66.05425824175825,Low
Ranger/warden,Transportation,Decreasing,Moderate,89089.7,Master’s Degree,0,3864,3596,70.18,55.09,Canada,67.54,-6.935817805383023,Medium
Company secretary,Transportation,Decreasing,Low,46615.03,Bachelor’s Degree,6,7531,5105,98.0,68.19,China,68.89,-32.213517461160535,Medium
Printmaker,Healthcare,Decreasing,Low,33914.75,Associate Degree,15,3832,4921,15.18,18.02,Canada,76.63,28.41858037578288,Low
"Editor, magazine features",Retail,Increasing,Low,78123.7,Associate Degree,11,2575,241,19.0,88.8,Canada,43.32,-90.64077669902912,High
"Engineer, aeronautical",Finance,Increasing,High,94303.28,Bachelor’s Degree,1,4670,4132,60.54,14.8,Australia,32.32,-11.5203426124197,Low
Patent attorney,Retail,Decreasing,Moderate,104551.54,Associate Degree,10,2671,8571,52.06,96.02,China,66.15,220.89105204043432,High
"Scientist, physiological",Retail,Decreasing,Low,144053.09,Bachelor’s Degree,10,5404,1493,47.49,85.68,Canada,79.94,-72.37231680236862,High
Contracting civil engineer,Transportation,Decreasing,Low,77444.54,High School,9,3971,3529,6.9,37.17,Australia,21.74,-11.130697557290354,Low
Orthoptist,Retail,Decreasing,Low,93616.44,Associate Degree,20,8385,6428,28.18,13.81,India,45.76,-23.339296362552176,Low
Midwife,Education,Increasing,High,68265.67,Bachelor’s Degree,9,3023,6593,95.87,33.2,China,41.49,118.09460800529274,Low
Soil scientist,IT,Decreasing,Moderate,122947.41,PhD,5,7675,190,32.96,89.28,USA,66.09,-97.52442996742671,High
"Engineer, manufacturing systems",Manufacturing,Increasing,High,51433.78,Associate Degree,14,4826,8228,59.1,97.51,USA,65.55,70.49316203895566,High
Herbalist,Retail,Decreasing,Low,48870.4,Bachelor’s Degree,0,5801,9594,0.11,39.37,USA,42.79,65.38527840027581,Low
"Administrator, local government",Entertainment,Decreasing,Moderate,51852.21,PhD,16,8600,3939,91.71,11.57,China,42.83,-54.19767441860465,Low
Chartered accountant,Entertainment,Decreasing,Low,70580.67,PhD,18,1011,2487,43.42,45.52,UK,24.87,145.9940652818991,Medium
Graphic designer,Finance,Decreasing,Low,71552.15,Bachelor’s Degree,12,8284,5267,74.28,68.5,Brazil,65.46,-36.41960405601159,Medium
Ship broker,Finance,Increasing,Moderate,73487.31,Bachelor’s Degree,11,3641,5970,7.78,83.69,Germany,65.37,63.965943422136775,High
Print production planner,Healthcare,Increasing,High,127986.28,Associate Degree,17,8508,4614,62.19,60.67,USA,57.28,-45.76868829337094,Medium
"Administrator, local government",Retail,Decreasing,Moderate,52914.21,High School,7,1707,3832,14.7,78.72,China,77.81,124.48740480374927,High
"Buyer, retail",Retail,Increasing,Low,79270.91,Bachelor’s Degree,12,1390,6767,29.54,19.78,India,24.82,386.8345323741007,Low
International aid/development worker,Entertainment,Decreasing,Low,48355.21,Associate Degree,4,183,500,81.94,71.74,UK,65.73,173.224043715847,High
"Engineer, communications",Transportation,Increasing,High,34158.31,High School,9,7269,6281,67.4,14.8,Canada,49.83,-13.591965882514788,Low
Television camera operator,Healthcare,Increasing,Moderate,143969.13,Associate Degree,9,8776,9657,33.06,68.81,China,41.17,10.038742023701003,Medium
"Engineer, communications",Retail,Increasing,Moderate,126822.31,Bachelor’s Degree,20,2327,4144,19.43,84.36,USA,24.11,78.08336914482166,High
"Restaurant manager, fast food",Healthcare,Decreasing,High,58589.96,High School,18,3839,9131,6.55,51.17,Germany,69.86,137.84839802031777,Medium
Technical sales engineer,Finance,Increasing,Low,113255.72,Master’s Degree,19,4850,9779,80.55,7.95,Germany,51.98,101.62886597938143,Low
"Conservation officer, historic buildings",Healthcare,Increasing,Moderate,128603.78,PhD,1,6967,9064,18.25,82.13,Germany,40.34,30.09903832352519,High
"Secretary, company",Healthcare,Decreasing,Moderate,64615.38,High School,13,6634,778,16.55,65.28,Canada,31.62,-88.27253542357552,Medium
"Teacher, special educational needs",Retail,Decreasing,Low,67778.28,Bachelor’s Degree,17,7107,2400,27.93,46.47,Australia,27.53,-66.23047699451246,Medium
Armed forces training and education officer,Entertainment,Decreasing,Moderate,67734.99,High School,12,3462,7617,98.64,58.69,Germany,71.19,120.01733102253034,Medium
Chief Technology Officer,Manufacturing,Decreasing,High,119553.12,Master’s Degree,3,646,2813,63.45,22.95,Canada,48.7,335.44891640866877,Low
Warehouse manager,Healthcare,Increasing,Moderate,77970.65,PhD,6,3750,2791,13.86,34.33,UK,27.87,-25.57333333333333,Low
Editorial assistant,Retail,Decreasing,High,33888.41,Master’s Degree,3,2461,8786,78.37,91.82,Germany,72.98,257.0093457943925,High
English as a foreign language teacher,Entertainment,Decreasing,Low,115343.99,Associate Degree,0,852,9931,95.99,91.78,USA,65.58,1065.6103286384975,High
Public relations officer,IT,Increasing,Low,77580.36,Master’s Degree,13,7391,4295,7.27,66.16,USA,24.16,-41.88878365579759,Medium
Amenity horticulturist,Retail,Decreasing,Moderate,52805.87,PhD,7,8295,2522,79.23,64.52,UK,34.88,-69.5961422543701,Medium
Accounting technician,Retail,Increasing,High,64902.02,PhD,9,6796,5657,40.65,82.76,UK,60.36,-16.75985874043555,High
Environmental consultant,Finance,Increasing,Moderate,71283.61,Master’s Degree,17,8039,9804,5.37,11.99,Germany,37.52,21.95546709789775,Low
Ceramics designer,Retail,Decreasing,Moderate,84254.88,High School,18,3883,441,55.21,78.34,Canada,45.17,-88.64280195724955,High
Armed forces operational officer,IT,Decreasing,Moderate,71047.82,Bachelor’s Degree,9,870,9122,7.75,43.24,Canada,60.99,948.5057471264367,Medium
Community arts worker,IT,Increasing,Moderate,111931.25,Bachelor’s Degree,1,9671,8949,77.32,2.85,USA,71.33,-7.465618860510806,Low
Technical brewer,Healthcare,Increasing,Low,58383.64,Master’s Degree,16,3284,7518,5.65,98.15,India,36.45,128.92813641900122,High
Travel agency manager,Education,Increasing,Low,74572.59,PhD,17,9837,4692,88.33,96.46,India,77.9,-52.30253125953035,High
Volunteer coordinator,Finance,Decreasing,High,79542.88,Associate Degree,0,7562,4382,77.28,25.87,Canada,22.28,-42.05236709865115,Low
"Accountant, chartered public finance",IT,Decreasing,Moderate,59688.86,Associate Degree,14,9478,8090,91.82,27.58,UK,25.25,-14.64443975522262,Low
Aeronautical engineer,Manufacturing,Decreasing,Low,83610.13,High School,9,2321,3470,76.85,73.62,UK,47.07,49.504523912106855,High
Music therapist,Retail,Increasing,Low,108673.88,High School,9,3928,572,23.83,0.6,Germany,69.17,-85.43788187372708,Low
Lawyer,Transportation,Decreasing,High,72840.96,Master’s Degree,19,8939,1829,29.44,45.5,Australia,51.77,-79.53909833314688,Medium
"Engineer, agricultural",Finance,Increasing,High,70096.92,PhD,2,8033,7808,38.81,19.46,China,52.65,-2.8009460973484375,Low
"Administrator, education",Entertainment,Increasing,Moderate,65344.25,Associate Degree,15,5342,5848,49.3,88.56,USA,28.89,9.472107824784723,High
Private music teacher,Healthcare,Decreasing,High,133160.39,High School,19,5410,124,5.69,92.08,Brazil,76.13,-97.7079482439926,High
Broadcast presenter,Entertainment,Increasing,Moderate,94927.4,Master’s Degree,10,8540,6699,29.81,19.98,Australia,54.92,-21.557377049180328,Low
"Administrator, Civil Service",Entertainment,Increasing,High,115833.54,PhD,12,2249,8610,74.57,46.55,India,36.98,282.8368163628279,Medium
Housing manager/officer,Retail,Increasing,Moderate,111438.28,Associate Degree,19,1161,4369,59.83,23.88,UK,32.4,276.3135228251507,Low
Estate manager/land agent,Manufacturing,Decreasing,Low,149476.73,High School,7,4373,4440,71.13,22.97,China,52.79,1.532128973244912,Low
"Engineer, technical sales",Finance,Decreasing,Low,65502.82,Bachelor’s Degree,7,3240,3562,3.01,63.88,China,47.0,9.938271604938272,Medium
Chemical engineer,Entertainment,Decreasing,Moderate,139411.41,High School,20,1906,5859,20.72,40.73,UK,76.23,207.39769150052467,Medium
Insurance underwriter,IT,Increasing,Low,37329.19,Associate Degree,4,1368,8960,14.74,53.73,Brazil,72.57,554.9707602339181,Medium
Diagnostic radiographer,Manufacturing,Decreasing,Low,56451.94,Associate Degree,9,1624,7963,59.56,23.82,Germany,45.33,390.33251231527095,Low
"Engineer, water",Finance,Increasing,Moderate,98244.52,PhD,12,5842,8644,31.48,66.84,Australia,75.2,47.96302636083533,Medium
"Therapist, sports",Retail,Decreasing,Low,32652.44,Master’s Degree,7,6832,1414,56.47,47.11,India,34.53,-79.30327868852459,Medium
Financial manager,IT,Decreasing,Moderate,56699.25,PhD,3,2739,276,43.36,86.6,Brazil,20.52,-89.92332968236583,High
"Secretary, company",Transportation,Decreasing,Moderate,44543.08,High School,12,459,5546,57.85,84.08,Brazil,37.08,1108.2788671023964,High
"Engineer, electrical",Finance,Decreasing,Moderate,122199.06,PhD,10,2044,3596,82.46,46.49,USA,60.24,75.92954990215264,Medium
Associate Professor,Entertainment,Increasing,Low,45708.24,Associate Degree,17,959,8700,95.59,27.4,India,30.5,807.1949947862356,Low
Translator,Manufacturing,Increasing,Low,108275.77,Associate Degree,19,4661,7851,42.96,64.49,China,58.81,68.44024887363227,Medium
Automotive engineer,Entertainment,Increasing,Moderate,99154.4,High School,11,959,9358,67.1,10.11,UK,24.43,875.808133472367,Low
"Surveyor, planning and development",Retail,Increasing,Moderate,68816.59,Master’s Degree,1,4651,4014,33.24,81.9,Australia,33.93,-13.695979359277574,High
Operations geologist,Healthcare,Decreasing,Moderate,51977.43,Bachelor’s Degree,16,1111,2652,34.0,62.43,UK,49.15,138.7038703870387,Medium
Illustrator,Retail,Increasing,High,142769.65,PhD,1,8935,1332,55.36,43.63,China,61.19,-85.09233351986569,Medium
"Engineer, biomedical",Finance,Increasing,High,31944.93,PhD,0,3886,1717,42.21,46.09,China,35.19,-55.815748841996914,Medium
"Surveyor, insurance",Transportation,Increasing,Moderate,111235.68,High School,12,220,2756,37.19,99.97,Australia,67.98,1152.7272727272727,High
Armed forces training and education officer,Education,Decreasing,Moderate,71990.35,Bachelor’s Degree,18,6583,1110,88.3,53.62,UK,40.54,-83.13838675375969,Medium
Administrator,IT,Increasing,Moderate,94544.93,Associate Degree,16,1770,8339,55.16,99.22,Germany,43.67,371.12994350282486,High
Camera operator,Transportation,Increasing,Low,136212.32,Associate Degree,17,6618,3007,10.4,67.22,Brazil,61.8,-54.56331217890601,Medium
Commercial/residential surveyor,IT,Increasing,Low,109616.64,High School,6,3793,9957,80.41,22.71,Germany,70.51,162.5098866332718,Low
TEFL teacher,Retail,Decreasing,Low,117713.37,Master’s Degree,14,7575,1541,85.93,81.09,Canada,66.37,-79.65676567656766,High
Paediatric nurse,Finance,Decreasing,Moderate,36248.92,PhD,4,3499,9822,93.55,45.54,India,24.92,180.7087739354101,Medium
Biomedical engineer,Entertainment,Decreasing,Low,147920.22,Master’s Degree,6,8901,9530,38.22,0.46,Brazil,57.68,7.0666217278957415,Low
"Accountant, chartered management",IT,Decreasing,Low,80485.16,PhD,5,1817,7985,35.55,20.53,Germany,22.93,339.4606494221244,Low
"Engineer, site",IT,Increasing,High,130910.27,PhD,17,1370,3088,33.66,83.39,UK,68.38,125.4014598540146,High
Oceanographer,Healthcare,Decreasing,Moderate,88966.21,Associate Degree,8,8961,8683,84.62,56.96,China,68.01,-3.1023323289811406,Medium
Translator,Manufacturing,Increasing,Moderate,77326.03,Bachelor’s Degree,8,8487,930,78.86,95.04,Australia,41.54,-89.04206433368681,High
Dispensing optician,Retail,Decreasing,High,48178.09,Associate Degree,5,570,265,24.39,86.9,China,54.49,-53.50877192982456,High
Chiropodist,Healthcare,Decreasing,Moderate,66459.62,High School,19,4341,3505,75.62,67.06,China,79.59,-19.25823542962451,Medium
Dancer,Transportation,Decreasing,Low,118635.23,Associate Degree,3,3614,8938,55.56,15.43,UK,68.51,147.31599335915882,Low
"Engineer, materials",Entertainment,Increasing,Moderate,41387.29,Master’s Degree,17,1968,459,16.01,8.78,UK,23.51,-76.67682926829268,Low
Paediatric nurse,Education,Increasing,Low,95656.02,Associate Degree,1,7499,2352,40.86,47.59,Australia,68.18,-68.63581810908121,Medium
Psychiatric nurse,Retail,Decreasing,Low,56514.71,PhD,4,4691,6803,19.3,66.26,China,45.43,45.022383287145594,Medium
Automotive engineer,Finance,Increasing,High,57865.65,High School,11,1610,3191,28.24,43.61,China,31.15,98.19875776397515,Medium
"Scientist, water quality",IT,Decreasing,Low,52004.61,Associate Degree,15,4211,3412,97.1,80.29,Brazil,49.09,-18.97411541201615,High
Sport and exercise psychologist,Education,Decreasing,Moderate,139371.08,High School,9,1965,2723,12.37,47.01,Germany,67.16,38.57506361323155,Medium
Estate agent,IT,Increasing,High,40028.44,High School,11,7936,427,18.65,59.98,Canada,49.96,-94.61945564516128,Medium
Insurance risk surveyor,Manufacturing,Decreasing,Moderate,147969.89,Master’s Degree,18,1432,7647,80.5,16.55,Germany,33.38,434.00837988826817,Low
"Pharmacist, hospital",Retail,Decreasing,High,102673.83,High School,12,6439,9436,6.74,54.82,USA,27.33,46.54449448672154,Medium
Banker,Education,Decreasing,Low,80069.57,Master’s Degree,12,8642,4535,93.61,21.4,USA,74.9,-47.52372136079611,Low
Amenity horticulturist,Manufacturing,Increasing,Moderate,65608.85,Master’s Degree,11,2648,6177,44.7,74.4,Australia,54.01,133.2703927492447,High
Community education officer,Manufacturing,Increasing,Low,84599.19,Bachelor’s Degree,11,1596,5715,6.05,70.82,China,44.53,258.08270676691734,High
Teaching laboratory technician,Healthcare,Increasing,High,116813.46,PhD,4,4702,1298,28.65,52.19,Australia,42.98,-72.39472564866014,Medium
Lawyer,Retail,Decreasing,High,67401.89,Associate Degree,1,9917,3640,81.54,80.26,Germany,32.78,-63.295351416759104,High
Fine artist,Healthcare,Decreasing,Moderate,100669.51,Bachelor’s Degree,5,4169,5562,88.01,22.55,Germany,25.16,33.41328855840729,Low
Broadcast journalist,Education,Increasing,Moderate,100229.22,Bachelor’s Degree,10,236,6339,96.22,92.99,UK,72.07,2586.016949152542,High
Financial controller,Finance,Decreasing,Low,45653.79,Bachelor’s Degree,11,7632,7136,89.58,43.42,Australia,52.78,-6.498951781970649,Medium
Geoscientist,Manufacturing,Decreasing,High,132069.71,Associate Degree,5,5991,4769,46.22,90.07,Germany,65.08,-20.39726256050743,High
Television production assistant,Transportation,Decreasing,Low,53484.77,Bachelor’s Degree,15,675,4612,32.4,82.65,Germany,71.46,583.2592592592592,High
Air broker,Transportation,Increasing,Moderate,112436.38,Master’s Degree,8,6087,3640,15.52,80.14,India,46.58,-40.200427139806145,High
Naval architect,Transportation,Decreasing,Moderate,123051.7,Master’s Degree,12,561,6692,77.25,48.02,China,65.34,1092.8698752228163,Medium
Chemical engineer,Healthcare,Decreasing,Low,113873.42,Master’s Degree,2,8994,2288,86.34,75.68,USA,38.2,-74.56081832332666,High
Applications developer,Education,Decreasing,Moderate,98581.61,PhD,19,3177,613,10.51,36.21,Germany,23.67,-80.7050676739062,Low
Medical illustrator,IT,Decreasing,High,63016.08,Associate Degree,1,4871,4042,67.48,58.85,Australia,50.62,-17.0190925887908,Medium
Cartographer,Transportation,Increasing,Low,88440.91,Bachelor’s Degree,18,411,115,65.88,18.41,Brazil,28.68,-72.01946472019465,Low
Lobbyist,Finance,Decreasing,Low,93376.52,Master’s Degree,1,3224,8020,22.29,62.59,Australia,61.98,148.75930521091811,Medium
Sports coach,Transportation,Decreasing,Moderate,138882.47,PhD,11,5180,1249,96.04,43.17,UK,43.4,-75.88803088803088,Medium
Site engineer,Entertainment,Increasing,High,35372.02,Associate Degree,18,8195,1162,41.29,25.62,China,47.41,-85.82062233068945,Low
"Production assistant, radio",Manufacturing,Decreasing,Moderate,138133.38,Bachelor’s Degree,4,6637,3877,48.95,18.11,India,56.65,-41.58505348802169,Low
Customer service manager,IT,Increasing,High,132698.8,Bachelor’s Degree,1,5795,9973,68.33,9.55,India,73.92,72.09663503019844,Low
Adult nurse,Finance,Decreasing,Low,102364.91,PhD,3,9629,751,97.62,25.05,Australia,61.69,-92.20064388825423,Low
"Engineer, broadcasting (operations)",Finance,Decreasing,High,105126.28,Master’s Degree,5,5414,6954,35.55,64.17,USA,77.45,28.444772811230145,Medium
Public librarian,Entertainment,Decreasing,Low,130862.66,Bachelor’s Degree,4,3094,8770,85.26,96.49,UK,47.23,183.4518422753717,High
Commissioning editor,Transportation,Decreasing,Moderate,88593.48,High School,5,8106,2849,8.98,91.17,China,40.97,-64.853195164076,High
Higher education lecturer,Manufacturing,Decreasing,Low,125089.17,Bachelor’s Degree,0,6980,2891,0.62,12.9,USA,57.47,-58.58166189111748,Low
Armed forces training and education officer,Retail,Increasing,Low,132209.27,PhD,8,6914,6822,60.17,77.52,China,22.96,-1.3306334972519527,High
"Engineer, site",Finance,Increasing,Moderate,147676.2,Associate Degree,17,2919,323,48.25,9.98,UK,50.6,-88.93456663240836,Low
Fish farm manager,Finance,Decreasing,Low,70705.45,Bachelor’s Degree,8,675,5029,84.3,87.83,UK,32.87,645.0370370370371,High
Mining engineer,Manufacturing,Increasing,Moderate,43367.34,Master’s Degree,8,6661,7366,94.53,62.08,India,54.37,10.583996396937396,Medium
Pharmacologist,Finance,Decreasing,Moderate,141714.8,Associate Degree,7,1763,8189,4.72,40.58,Canada,54.17,364.4923425978446,Medium
Oncologist,Entertainment,Decreasing,High,108029.25,Master’s Degree,15,7746,8385,26.07,78.87,Canada,76.67,8.249419054996126,High
Oncologist,Entertainment,Increasing,Low,94453.28,Master’s Degree,18,9979,449,70.4,98.29,China,22.19,-95.5005511574306,High
Press sub,Education,Decreasing,High,133953.18,Bachelor’s Degree,0,5934,1595,94.49,85.58,USA,37.42,-73.12099764071452,High
Radio broadcast assistant,Finance,Decreasing,Moderate,132991.08,PhD,14,4586,7551,1.4,58.22,Germany,61.76,64.6532926297427,Medium
"Scientist, forensic",Finance,Decreasing,Moderate,67495.78,Bachelor’s Degree,7,7336,999,25.07,87.62,Canada,50.21,-86.38222464558342,High
Logistics and distribution manager,Transportation,Decreasing,High,78753.41,High School,15,2026,6316,21.72,46.79,India,70.08,211.7472852912142,Medium
Financial manager,Transportation,Increasing,Moderate,45450.82,Master’s Degree,11,2385,3088,15.15,26.8,UK,41.2,29.47589098532495,Low
Exercise physiologist,Entertainment,Decreasing,Moderate,45960.24,Associate Degree,19,5552,8504,52.49,2.46,Australia,37.26,53.170028818443804,Low
Chief of Staff,Healthcare,Increasing,High,133084.45,High School,2,3078,7686,13.89,94.2,Canada,64.4,149.70760233918128,High
"Nurse, learning disability",Finance,Decreasing,Moderate,62101.3,Bachelor’s Degree,12,8753,7738,43.46,42.81,India,65.65,-11.596024220267337,Medium
Cartographer,Finance,Increasing,Moderate,44936.31,Master’s Degree,0,8672,6578,29.21,94.73,Canada,71.34,-24.14667896678967,High
"Psychologist, counselling",Education,Increasing,High,91941.44,PhD,17,7633,7768,56.08,85.04,Germany,30.04,1.7686361849862438,High
